xveratas;yveratas;X;Y
-103;108;-120;120
-103;108;120;120
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-103;108;;
-99;108;;
-97;108;;
-95;108;;
-93;108;;
-91;108;;
-81;108;;
-78;108;;
-74;108;;
-70;108;;
-67;108;;
-63;108;;
-56;108;;
-52;108;;
-48;108;;
-45;108;;
-38;108;;
-34;108;;
-30;108;;
-23;108;;
-19;108;;
-16;108;;
-12;108;;
-8;108;;
-5;108;;
2;108;;
5;108;;
9;108;;
13;108;;
16;108;;
27;108;;
34;108;;
38;108;;
42;108;;
49;108;;
53;108;;
56;108;;
60;108;;
64;108;;
71;108;;
75;108;;
78;108;;
82;108;;
85;108;;
94;108;;
99;108;;
103;108;;
108;108;;
117;108;;
119;108;;
122;108;;
124;108;;
128;108;;
130;108;;
130;108;;
130;108;;
130;108;;
130;108;;
130;108;;
